N,P,K,temperature,humidity,ph,rainfall,label
37.0,30.0,34.0,27.53907547,53.63549533,6.797779227,99.35408185,mango
46.5346379,34.88099045,90.73432516,25.77368245,79.59328835,6.477466185,85.86556933,apple
16.46339053,105.4307063,69.87265293,26.97661884,102.0021226,7.07671618,67.16508543,muskmelon
74.17542495,-12.07842538,21.28702383,34.26994056,58.25068807,6.686495669,154.6002877,apple
41.09923902,10.11828293,37.45890009,30.26287102,73.2840198,5.766612781,169.9067728,jute
100.0,46.0,18.0,24.18586246,76.04203958,6.431689506,69.08056728,cotton
34.91935375,47.87657583,-17.72973242,22.24369658,79.80552591,6.820244768,84.28653688,jute
16.0,139.0,203.0,17.82803682,80.96093443,6.27564088,65.84748763,grapes
120.0,8.0,46.0,29.55657523,90.70937262,6.732834334,28.36535596,muskmelon
24.0,80.0,22.0,16.71170642,19.17651433,5.635993966,96.77285817,kidneybeans
104.7846942,110.8596308,-83.50274897,33.25657073,92.15538628,5.998634086,71.71027806,mungbean
48.71204829,56.38590237,84.05516222,23.34376178,56.53763606,5.673759103,90.77265166,papaya
17.45205344,92.29392746,110.6842285,30.06747164,104.0089488,5.454767766,123.3649632,mungbean
57.40278377,83.47898007,34.78502719,11.82409417,44.13903482,6.40604832,191.3861798,blackgram
113.0,37.0,20.0,25.03300222,79.04368718,7.393441155,97.10087029,cotton
52.38477731,116.2166037,93.36336863,32.04863527,65.28722596,7.30550436,137.7543332,jute
16.0,18.0,26.0,28.43647052,91.81320717,5.568365926,145.5414413,coconut
-35.38720581,98.82803799,41.63372876,23.47029055,141.5559333,7.921471432,192.9370158,papaya
10.0,5.0,42.0,20.24104904,91.08706822,6.887005997,109.2537734,pomegranate
152.3444124,80.85134654,36.31889124,26.52631076,101.1666898,6.729545211,117.7846086,orange
18.0,79.0,20.0,20.27514686,23.2353604,5.877347515,139.7521543,kidneybeans
30.61652816,114.4345232,74.54325229,23.11351226,52.68352076,6.203926157,178.8818503,orange
14.07244388,42.16692277,89.51714742,28.46183289,72.25899184,7.356707886,-23.82181426,banana
118.0,12.0,47.0,27.96872279,92.17444796,6.010739645,28.94766949,muskmelon
26.0,80.0,83.0,17.08498521,16.14565756,7.528599957,71.31007253,chickpea
88.0,5.0,47.0,25.86475496,86.67468041,6.662244646,41.16554802,watermelon
39.02790682,18.82287893,94.85115665,32.47246225,69.79393064,5.664667521,75.08594283,cotton
127.2755058,95.41058251,67.98337887,29.59858049,76.39626936,8.090433151,44.06791859,rice
54.63706176,72.01547961,70.5029156,28.72723313,105.7364476,5.789266703,55.0319438,kidneybeans
5.0,68.0,20.0,19.04380471,33.10695144,6.12166671,155.3705624,pigeonpeas
102.0,14.0,52.0,26.79489868,89.64815231,6.51075991,57.74091817,watermelon
25.0,129.0,195.0,17.98667801,81.17712085,5.777271492,72.37127689,grapes
80.0,77.0,49.0,26.05433004,79.39654531,5.519088423,113.2297373,banana
56.0,57.0,48.0,31.56213762,93.0484859,6.506120752,63.62250788,papaya
18.0,27.0,41.0,22.36509395,92.30882391,7.175344328,104.8216333,pomegranate
31.0,48.0,17.0,28.88078945,86.94206817,6.594739424,53.79732545,mungbean
76.0,39.0,24.0,24.2547451,55.64709899,6.995843776,64.23845455,maize
49.0,55.0,51.0,24.87212063,93.90560147,6.676578778,135.1694525,papaya
57.4684179,37.36193595,54.04625202,21.62072211,59.01587611,7.486538486,7.335192573,mungbean
108.8878418,55.3151657,51.89178971,27.53210507,87.31866649,6.395826583,85.37765994,orange
50.3523131,75.57299444,95.90581729,27.37893178,52.64110213,6.859481354,166.4012551,maize
39.66895619,117.2022142,-24.31913377,24.64780672,68.62632091,7.227619496,119.9429096,lentil
49.0,71.0,76.0,19.71098332,17.63879418,6.613072145,85.57925437,chickpea
53.58373544,38.86181785,176.6175354,30.3523092,32.60677446,5.748321574,123.1221148,orange
98.0,53.0,38.0,20.26707606,81.63895217,5.01450727,270.4417274,rice
47.83561251,49.75099224,20.07401426,24.69457646,57.45201899,6.496115749,91.06640139,mango
76.0,60.0,39.0,20.0454142,80.3477562,6.766240045,208.5810155,rice
20.0,72.0,15.0,36.00415838,56.01334416,7.313517308,134.8596466,pigeonpeas
0.0,19.0,31.0,25.51791333,94.38420565,6.271952833,178.7297725,coconut
7.0,79.0,23.0,19.6365349,19.68751084,5.821649914,96.65888933,kidneybeans
21.03853975,-7.622062961,-55.33592781,27.96445216,79.8251453,7.606269672,-61.7989623,muskmelon
34.48345753,-17.3591597,23.3037637,25.67658213,58.56336974,6.671831434,85.31783726,cotton
74.71840861,105.9065527,79.13459719,17.7910406,70.20636016,5.806400699,107.5787486,muskmelon
92.0,75.0,45.0,29.01207743,77.95192527,5.674403359,90.43495443,banana
85.0,89.0,51.0,29.21144871,84.70189923,6.158164422,108.5501443,banana
81.0,49.0,20.0,18.04185513,60.61494304,5.513697923,104.2321615,maize
-8.259276505,53.92646442,74.25972299,31.13642113,109.9922777,5.03104509,148.7183452,muskmelon
17.93609522,10.55237254,-48.93285598,31.41993525,71.23458344,6.300511429,96.54649271,papaya
